ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2021,MONDAY,REAR END,N,N,50.671377,-120.320225,Y,MARCH,N,KAMLOOPS,KAMLOOPS,KAMLOOPS,Y,N,N,SOUTHERN INTERIOR,COLUMBIA ST # 000800 TO 000899,COLUMBIA ST,COLUMBIA ST,00:00-02:59,1,1
N,CASUALTY CRASH,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,MARCH,N,CASTLEGAR,CASTLEGAR,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3,HWY 3,00:00-02:59,1,1
N,CASUALTY CRASH,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,MARCH,N,DELTA,DELTA,\N,N,N,N,LOWER MAINLAND,UNKNOWN,UNKNOWN,UNKNOWN,00:00-02:59,1,1
N,CASUALTY CRASH,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,MARCH,N,PRINCE GEORGE,PRINCE GEORGE,\N,N,N,N,NORTH CENTRAL,UNKNOWN,OSPIKA BLVD,OSPIKA BLVD,00:00-02:59,1,1
N,CASUALTY CRASH,176 ST,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.181569,-122.734867,N,MARCH,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,176 ST & 176 ST OFFRAMP & 176 ST ONRAMP & TRANS-CANADA HWY,HWY 1,HWY 1,00:00-02:59,1,1
N,CASUALTY CRASH,DOWNES RD,N,2021,MONDAY,REAR END,N,Y,49.075103,-122.359974,N,MARCH,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,N,N,N,LOWER MAINLAND,DOWNES RD & TOWNLINE RD,TOWNLINE RD,TOWNLINE RD,00:00-02:59,1,1
N,CASUALTY CRASH,N RAILWAY AVE,N,2021,MONDAY,HEAD ON,Y,Y,49.137141,-122.284754,N,MARCH,N,MISSION,MISSION,MISSION,N,N,N,LOWER MAINLAND,LOUGHEED HWY & N RAILWAY AVE,LOUGHEED HWY,LOUGHEED HWY,00:00-02:59,1,3
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,REAR END,N,N,49.27145,-122.803158,Y,MARCH,N,COQUITLAM,COQUITLAM,COQUITLAM,Y,N,N,LOWER MAINLAND,RANCH PARK WAY # 001013 TO 001099,RANCH PARK WAY,RANCH PARK WAY,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SIDE IMPACT,N,N,\N,\N,N,MARCH,N,PRINCE RUPERT,PRINCE RUPERT,\N,Y,Y,N,NORTH CENTRAL,UNKNOWN,SCOTT ROAD,SCOTT ROAD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SIDE IMPACT,Y,N,\N,\N,N,MARCH,N,QUESNEL,QUESNEL,\N,N,N,N,NORTH CENTRAL,UNKNOWN,HWY 1,HWY 1,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SIDE IMPACT,Y,N,49.214835,-124.027673,Y,MARCH,N,NANAIMO,NANAIMO,NANAIMO,N,Y,N,VANCOUVER ISLAND,RUTHERFORD RD # 004750 TO 004750 even,RUTHERFORD RD,RUTHERFORD RD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SIDE IMPACT,Y,N,49.269053,-123.248346,Y,MARCH,N,UBC,UBC,UBC,N,N,N,LOWER MAINLAND,STUDENT UNION BLVD # 005900 TO 005959,STUDENT UNION BLVD,STUDENT UNION BLVD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SIDE SWIPE - OPPOSITE DIRECTION,N,N,49.30368,-122.821468,Y,MARCH,N,COQUITLAM,COQUITLAM,COQUITLAM,Y,Y,N,LOWER MAINLAND,MICA PL # 002500 TO 002529,MICA PL,MICA PL,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,MARCH,N,SURREY,SURREY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,140 STREET,140 STREET,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,49.158219,-123.949523,Y,MARCH,N,NANAIMO,NANAIMO,NANAIMO,N,N,N,VANCOUVER ISLAND,BRUCE AVE # 000400 TO 000444,BRUCE AVE,BRUCE AVE,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,49.289172,-123.14205,Y,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,N,Y,N,LOWER MAINLAND,GILFORD ST # 001102 TO 001149,GILFORD ST,GILFORD ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,49.334043,-123.037858,Y,MARCH,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,N,Y,N,LOWER MAINLAND,MOUNTAIN HWY # 002700 TO 002800,MOUNTAIN HWY,MOUNTAIN HWY,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,50.664444,-120.339372,Y,MARCH,N,KAMLOOPS,KAMLOOPS,KAMLOOPS,N,N,N,SOUTHERN INTERIOR,SILVERTHRONE CRES # 000100 TO 000149,SILVERTHRONE CRES,SILVERTHRONE CRES,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,Y,N,\N,\N,N,MARCH,N,MANNING PARK,MANNING PARK,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3,HWY 3,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,Y,N,\N,\N,N,MARCH,N,MERRITT,MERRITT,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 5,HWY 5,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,UNDETERMINED,N,N,\N,\N,N,MARCH,N,WEST VANCOUVER,WEST VANCOUVER,\N,N,N,N,LOWER MAINLAND,UNKNOWN,BELLEVUE AVE,BELLEVUE AVE,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,UNDETERMINED,N,N,50.750796,-119.228024,Y,MARCH,N,SALMON ARM,SALMON ARM,SALMON ARM,Y,N,N,SOUTHERN INTERIOR,70 AVE NE # 004900 TO 004999,70 AVE NE,70 AVE NE,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,160 ST,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.15734,-122.778895,N,MARCH,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,160 ST & FRASER HWY & TURNING LANE,FRASER HWY,FRASER HWY,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,BLUNDELL RD,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.155635,-123.172262,N,MARCH,N,RICHMOND,RICHMOND,RICHMOND,N,N,N,LOWER MAINLAND,BLUNDELL RD & COLONIAL DR,COLONIAL DR,COLONIAL DR,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,CROMPTON ST,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.209061,-123.080791,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,CROMPTON ST & E KENT AVE N,E KENT AVE N,E KENT AVE N,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,E 29TH AVE,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.24462,-123.049647,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,E 29TH AVE & SLOCAN ST,SLOCAN ST,SLOCAN ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,GRANT ST,N,2021,MONDAY,SIDE IMPACT,N,Y,49.275142,-122.852474,N,MARCH,N,PORT MOODY,PORT MOODY,PORT MOODY,N,N,N,LOWER MAINLAND,GRANT ST & HOPE ST,HOPE ST,HOPE ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,HEATLEY AVE,N,2021,MONDAY,SIDE IMPACT,N,Y,49.278391,-123.089661,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,Y,N,N,LOWER MAINLAND,E GEORGIA ST & HEATLEY AVE,E GEORGIA ST,E GEORGIA ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,ISLAND HWY N,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.202987,-123.99565,N,MARCH,N,NANAIMO,NANAIMO,NANAIMO,N,N,N,VANCOUVER ISLAND,ISLAND HWY N & ROCK CITY RD & TURNING LANE,ROCK CITY RD,ROCK CITY RD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,ISLAND HWY N,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.224263,-124.03734,N,MARCH,N,NANAIMO,NANAIMO,NANAIMO,N,N,N,VANCOUVER ISLAND,ISLAND HWY N & TURNER RD & TURNING LANE,TURNER RD,TURNER RD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,LOUGHEED HWY,N,2021,MONDAY,UNDETERMINED,N,Y,49.216942,-122.612692,N,MARCH,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,Y,N,N,LOWER MAINLAND,220 ST & LOUGHEED HWY,220 ST,220 ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,OKANAGAN HWY,N,2021,MONDAY,SIDE IMPACT,N,N,\N,\N,N,MARCH,N,PEACHLAND,PEACHLAND,\N,Y,N,N,SOUTHERN INTERIOR,UNKNOWN,HUDSON,HUDSON,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,THURLOW ST,N,2021,MONDAY,CONFLICTED,N,Y,49.285723,-123.123132,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,THURLOW ST & W GEORGIA ST,W GEORGIA ST,W GEORGIA ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,UNKNOWN,N,2021,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,MARCH,N,OSOYOOS,OSOYOOS,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3,HWY 3,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,W 37TH AVE,N,2021,MONDAY,SIDE IMPACT,N,Y,49.237333,-123.105494,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,Y,N,N,LOWER MAINLAND,E 37TH AVE & ONTARIO ST & W 37TH AVE,ONTARIO ST,ONTARIO ST,00:00-02:59,1,0
Y,PROPERTY DAMAGE ONLY,\N,N,2021,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,MARCH,N,CHETWYND,CHETWYND,\N,N,N,N,NORTH CENTRAL,UNKNOWN,HWY 97,HWY 97,00:00-02:59,1,0
Y,PROPERTY DAMAGE ONLY,KING GEORGE BLVD,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.074258,-122.822829,N,MARCH,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,HWY 99 & KING GEORGE BLVD & KING GEORGE BLVD OFFRAMP & KING GEORGE BLVD ONRAMP & SOUTH SURREY PARK AND RIDE & TURNING LANE,HWY 99,HWY 99,00:00-02:59,1,0
Y,PROPERTY DAMAGE ONLY,VEDDER RD OFFRAMP,N,2021,MONDAY,SINGLE VEHICLE,N,Y,49.144793,-121.962073,N,MARCH,N,CHILLIWACK,CHILLIWACK,CHILLIWACK,N,N,N,LOWER MAINLAND,TRANS-CANADA HWY & VEDDER RD & VEDDER RD OFFRAMP & VEDDER RD ONRAMP,HWY 1,HWY 1,00:00-02:59,1,0
