ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2021,TUESDAY,CONFLICTED,N,N,49.136456,-123.174559,Y,JULY,N,RICHMOND,RICHMOND,RICHMOND,N,N,N,LOWER MAINLAND,CANSO CRES # 010400 TO 010999,CANSO CRES,CANSO CRES,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,CONFLICTED,N,N,50.270124,-119.274473,Y,JULY,N,VERNON,VERNON,VERNON,N,Y,N,SOUTHERN INTERIOR,39 AVE # 003200 TO 003299,39 AVE,39 AVE,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,HEAD ON,Y,N,\N,\N,N,JULY,N,MIDWAY,MIDWAY,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HIGHWAY 3,HIGHWAY 3,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,REAR END,N,N,\N,\N,N,JULY,N,BURNABY,BURNABY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,REAR END,N,N,\N,\N,N,JULY,N,RICHMOND,RICHMOND,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 99,HWY 99,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,REAR END,N,N,\N,\N,N,JULY,N,WEST VANCOUVER,WEST VANCOUVER,\N,N,N,N,LOWER MAINLAND,UNKNOWN,SKILIFT RD,SKILIFT RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,REAR END,N,N,48.397792,-123.617738,Y,JULY,N,SOOKE,SOOKE,SOOKE,N,N,N,VANCOUVER ISLAND,SOOKE RD # 004999 TO 005078,SOOKE RD,SOOKE RD,09:00-11:59,1,5
N,CASUALTY CRASH,\N,N,2021,TUESDAY,REAR TO REAR,N,N,49.228116,-122.998531,Y,JULY,N,BURNABY,BURNABY,BURNABY,N,Y,N,LOWER MAINLAND,KINGSWAY # 004700 TO 004749,KINGSWAY,KINGSWAY,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,REAR TO REAR,N,N,49.277204,-122.843376,Y,JULY,N,PORT MOODY,PORT MOODY,PORT MOODY,N,Y,N,LOWER MAINLAND,SPRING ST # 003000 TO 003099,SPRING ST,SPRING ST,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,SINGLE VEHICLE,N,N,\N,\N,N,JULY,N,FORT NELSON,FORT NELSON,\N,N,N,N,NORTH CENTRAL,UNKNOWN,ALASKA HWY,ALASKA HWY,09:00-11:59,1,2
N,CASUALTY CRASH,\N,N,2021,TUESDAY,SINGLE VEHICLE,N,N,\N,\N,N,JULY,N,LOGAN LAKE,LOGAN LAKE,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 97C,HWY 97C,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,SINGLE VEHICLE,N,N,\N,\N,N,JULY,N,WINDERMERE,WINDERMERE,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,KOOTENAY NO RD,KOOTENAY NO RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,SINGLE VEHICLE,N,N,\N,\N,N,JULY,N,YALE,YALE,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,SINGLE VEHICLE,N,N,\N,\N,N,JULY,Y,SILVERTON,SILVERTON,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 6,HWY 6,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,SINGLE VEHICLE,N,N,48.427471,-123.358499,Y,JULY,N,VICTORIA,VICTORIA,VICTORIA,N,N,Y,VANCOUVER ISLAND,PANDORA AVE # 000900 TO 000934 even,PANDORA AVE,PANDORA AVE,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,SINGLE VEHICLE,N,N,49.111098,-122.24631,Y,JULY,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,N,Y,Y,LOWER MAINLAND,FORE RD # 035300 TO 035365,FORE RD,FORE RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,TUESDAY,UNDETERMINED,N,N,49.165613,-123.136632,Y,JULY,N,RICHMOND,RICHMOND,RICHMOND,N,Y,N,LOWER MAINLAND,NO 3 RD # 006401 TO 006799 odd,NO 3 RD,NO 3 RD,09:00-11:59,1,1
N,CASUALTY CRASH,110TH AVE,N,2021,TUESDAY,REAR END,N,N,\N,\N,N,JULY,N,DAWSON CREEK,DAWSON CREEK,\N,N,N,N,NORTH CENTRAL,UNKNOWN,8TH ST,8TH ST,09:00-11:59,1,1
N,CASUALTY CRASH,148 ST,N,2021,TUESDAY,CONFLICTED,N,Y,49.170325,-122.812309,N,JULY,N,SURREY,SURREY,SURREY,Y,N,N,LOWER MAINLAND,148 ST & FRASER HWY & TURNING LANE,FRASER HWY,FRASER HWY,09:00-11:59,1,1
N,CASUALTY CRASH,152 ST,N,2021,TUESDAY,CONFLICTED,N,Y,49.104433,-122.801032,N,JULY,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,152 ST & 56 AVE,HWY 10,HWY 10,09:00-11:59,1,1
N,CASUALTY CRASH,152ND,N,2021,TUESDAY,REAR END,Y,N,\N,\N,N,JULY,N,SURREY,SURREY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,09:00-11:59,1,1
N,CASUALTY CRASH,156 ST,N,2021,TUESDAY,SIDE IMPACT,N,Y,49.034702,-122.790177,N,JULY,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,156 ST & 18 AVE,18 AVE,18 AVE,09:00-11:59,1,1
N,CASUALTY CRASH,156 ST,N,2021,TUESDAY,SINGLE VEHICLE,N,Y,49.045591,-122.79019,N,JULY,N,SURREY,SURREY,SURREY,N,N,Y,LOWER MAINLAND,156 ST & 24 AVE,24 AVE,24 AVE,09:00-11:59,1,1
N,CASUALTY CRASH,24 AVE,N,2021,TUESDAY,SIDE IMPACT,N,Y,49.045657,-122.812211,N,JULY,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,148 ST & 24 AVE,148 ST,148 ST,09:00-11:59,1,1
N,CASUALTY CRASH,248 ST,N,2021,TUESDAY,REAR END,N,Y,49.119175,-122.537029,N,JULY,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,248 ST & TRANS-CANADA HWY,HWY 1,HWY 1,09:00-11:59,1,1
N,CASUALTY CRASH,2ND ST NE,N,2021,TUESDAY,SIDE IMPACT,N,Y,50.240411,-117.796843,N,JULY,N,NAKUSP,NAKUSP,NAKUSP,N,N,N,SOUTHERN INTERIOR,2ND ST NE & 2ND ST NW & NELSON AVE N,NELSON AVE N,NELSON AVE N,09:00-11:59,1,2
N,CASUALTY CRASH,48 AVE,N,2021,TUESDAY,SINGLE VEHICLE,N,Y,49.090543,-123.082618,N,JULY,N,DELTA,DELTA,DELTA,N,N,Y,LOWER MAINLAND,48 AVE & ELLIOTT ST,ELLIOTT ST,ELLIOTT ST,09:00-11:59,1,1
