ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2021,SUNDAY,CONFLICTED,Y,N,50.896265,-118.822624,Y,AUGUST,N,MALAKWA,MALAKWA,MALAKWA,N,N,N,SOUTHERN INTERIOR,YARD CREEK LOOP RD # 003000 TO 003103,YARD CREEK LOOP RD,YARD CREEK LOOP RD,09:00-11:59,1,2
N,CASUALTY CRASH,\N,N,2021,SUNDAY,MULTIPLE IMPACTS,N,N,\N,\N,N,AUGUST,Y,SURREY,SURREY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 99,HWY 99,09:00-11:59,1,2
N,CASUALTY CRASH,\N,N,2021,SUNDAY,REAR END,N,N,\N,\N,N,AUGUST,N,LANGLEY,LANGLEY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,09:00-11:59,1,4
N,CASUALTY CRASH,\N,N,2021,SUNDAY,REAR END,N,N,\N,\N,N,AUGUST,N,VANCOUVER,VANCOUVER,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,SUNDAY,REAR END,N,N,49.29492,-123.136912,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,STANLEY PARK CAUSEWAY,STANLEY PARK CAUSEWAY,STANLEY PARK CAUSEWAY,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,SUNDAY,REAR END,N,N,49.323881,-123.102575,Y,AUGUST,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,N,Y,N,LOWER MAINLAND,MARINE DR # 001000 TO 001040 even,MARINE DR,MARINE DR,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,SUNDAY,SIDE IMPACT,N,N,\N,\N,N,AUGUST,N,DELTA,DELTA,\N,N,Y,N,LOWER MAINLAND,UNKNOWN,HWY 17,HWY 17,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,SUNDAY,SIDE IMPACT,N,N,48.875465,-123.707546,Y,AUGUST,N,CHEMAINUS,CHEMAINUS,CHEMAINUS,N,N,N,VANCOUVER ISLAND,MT SICKER RD # 002692 TO 002717,MT SICKER RD,MT SICKER RD,09:00-11:59,1,3
N,CASUALTY CRASH,\N,N,2021,SUNDAY,SINGLE VEHICLE,N,N,\N,\N,N,AUGUST,N,HOPE,HOPE,\N,N,N,N,LOWER MAINLAND,UNKNOWN,COQUIHALLA HWY,COQUIHALLA HWY,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2021,SUNDAY,SINGLE VEHICLE,N,N,\N,\N,N,AUGUST,N,NORTH BARRIERE LAKE,NORTH BARRIERE LAKE,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,BARRIERE NORTH RD,BARRIERE NORTH RD,09:00-11:59,1,1
