ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2021,THURSDAY,CONFLICTED,N,N,\N,\N,N,DECEMBER,N,KELOWNA,KELOWNA,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 33,HWY 33,18:00-20:59,1,2
N,CASUALTY CRASH,\N,N,2021,THURSDAY,CONFLICTED,N,N,49.371207,-123.09882,Y,DECEMBER,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,Y,Y,N,LOWER MAINLAND,NANCY GREENE WAY # 006371 TO 006401,NANCY GREENE WAY,NANCY GREENE WAY,18:00-20:59,1,1
N,CASUALTY CRASH,\N,N,2021,THURSDAY,HEAD ON,N,N,\N,\N,N,DECEMBER,N,OLIVER,OLIVER,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 97,HWY 97,18:00-20:59,1,2
N,CASUALTY CRASH,\N,N,2021,THURSDAY,HEAD ON,N,N,49.147411,-123.933319,Y,DECEMBER,N,NANAIMO,NANAIMO,NANAIMO,N,N,N,VANCOUVER ISLAND,ISLAND HWY S # 000800 TO 000809,ISLAND HWY S,ISLAND HWY S,18:00-20:59,1,2
N,CASUALTY CRASH,\N,N,2021,THURSDAY,REAR END,N,N,\N,\N,N,DECEMBER,N,RICHMOND,RICHMOND,\N,N,N,N,LOWER MAINLAND,UNKNOWN,GILBERT RD,GILBERT RD,18:00-20:59,1,1
N,CASUALTY CRASH,\N,N,2021,THURSDAY,REAR END,N,N,49.038318,-122.275593,Y,DECEMBER,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,N,Y,N,LOWER MAINLAND,MARSHALL RD # 034200 TO 034349,MARSHALL RD,MARSHALL RD,18:00-20:59,1,1
N,CASUALTY CRASH,\N,N,2021,THURSDAY,REAR END,N,N,49.220553,-122.617499,Y,DECEMBER,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,N,N,N,LOWER MAINLAND,DEWDNEY TRUNK RD # 021760 TO 021849,DEWDNEY TRUNK RD,DEWDNEY TRUNK RD,18:00-20:59,1,1
N,CASUALTY CRASH,\N,N,2021,THURSDAY,REAR TO REAR,N,N,49.213499,-122.920763,Y,DECEMBER,N,NEW WESTMINSTER,NEW WESTMINSTER,NEW WESTMINSTER,N,Y,N,LOWER MAINLAND,SIXTH ST # 000600 TO 000619,6TH ST,6TH ST,18:00-20:59,1,1
N,CASUALTY CRASH,\N,N,2021,THURSDAY,SIDE IMPACT,N,N,\N,\N,N,DECEMBER,N,RICHMOND,RICHMOND,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HAZELBRIDGE WAY,HAZELBRIDGE WAY,18:00-20:59,1,1
N,CASUALTY CRASH,\N,N,2021,THURSDAY,SIDE SWIPE - OPPOSITE DIRECTION,N,N,49.104063,-116.454781,Y,DECEMBER,N,ERICKSON,ERICKSON,ERICKSON,N,N,N,SOUTHERN INTERIOR,HWY 3 # 004020 TO 004125,HWY 3,HWY 3,18:00-20:59,1,1
