ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2022,WEDNESDAY,MULTIPLE IMPACTS,Y,N,\N,\N,N,APRIL,N,VALEMOUNT,VALEMOUNT,\N,N,N,N,NORTH CENTRAL,UNKNOWN,HWY 5,HWY 5,00:00-02:59,1,1
N,CASUALTY CRASH,\N,N,2022,WEDNESDAY,REAR END,Y,N,\N,\N,N,APRIL,N,KAMLOOPS,KAMLOOPS,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 5,HWY 5,00:00-02:59,1,1
N,CASUALTY CRASH,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,WHITE ROCK,WHITE ROCK,\N,N,N,N,LOWER MAINLAND,UNKNOWN,MARINE DR,MARINE DR,00:00-02:59,1,1
N,CASUALTY CRASH,124 ST,N,2022,WEDNESDAY,SIDE IMPACT,N,Y,49.133924,-122.879111,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,124 ST & 72 AVE,72 AVE,72 AVE,00:00-02:59,1,2
N,CASUALTY CRASH,152 ST,N,2022,WEDNESDAY,UNDETERMINED,N,Y,49.176843,-122.801039,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,152 ST & 96 AVE,96 AVE,96 AVE,00:00-02:59,1,2
N,CASUALTY CRASH,95A,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,CRANBROOK,CRANBROOK,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3,HWY 3,00:00-02:59,1,1
N,CASUALTY CRASH,GLEN DR,N,2022,WEDNESDAY,REAR END,N,Y,49.282675,-122.793195,N,APRIL,N,COQUITLAM,COQUITLAM,COQUITLAM,N,N,N,LOWER MAINLAND,GLEN DR & PINETREE WAY,PINETREE WAY,PINETREE WAY,00:00-02:59,1,1
N,CASUALTY CRASH,RASHDALE RD,N,2022,WEDNESDAY,SINGLE VEHICLE,Y,N,\N,\N,N,APRIL,N,ARMSTRONG,ARMSTRONG,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,MALPASS RD,MALPASS RD,00:00-02:59,1,1
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,MULTIPLE IMPACTS,N,N,49.228356,-122.99769,Y,APRIL,N,BURNABY,BURNABY,BURNABY,Y,Y,N,LOWER MAINLAND,MCKERCHER AVE # 006100 TO 006199,MCKERCHER AVE,MCKERCHER AVE,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,REAR END,N,N,48.448264,-123.377163,Y,APRIL,N,SAANICH,SAANICH,SAANICH,Y,Y,N,VANCOUVER ISLAND,TENNYSON AVE # 003240 TO 003299,TENNYSON AVE,TENNYSON AVE,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,REAR END,N,N,56.249758,-120.847476,Y,APRIL,N,FORT ST. JOHN,FORT ST. JOHN,FORT ST. JOHN,Y,Y,N,NORTH CENTRAL,100 ST # 010300 TO 010399,100 ST,100 ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SIDE IMPACT,N,N,\N,\N,N,APRIL,N,FORT NELSON,FORT NELSON,\N,Y,Y,N,NORTH CENTRAL,UNKNOWN,KENNAY-YAH RD,KENNAY-YAH RD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SIDE IMPACT,N,N,49.266428,-123.001746,Y,APRIL,N,BURNABY,BURNABY,BURNABY,N,Y,N,LOWER MAINLAND,LOUGHEED HWY # 004501 TO 004599 odd,LOUGHEED HWY,LOUGHEED HWY,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SIDE IMPACT,N,N,49.890878,-119.401424,Y,APRIL,N,KELOWNA,KELOWNA,KELOWNA,Y,N,N,SOUTHERN INTERIOR,BADKE RD # 000700 TO 000799,BADKE RD,BADKE RD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SIDE IMPACT,N,N,50.651419,-120.368346,Y,APRIL,N,KAMLOOPS,KAMLOOPS,KAMLOOPS,Y,Y,N,SOUTHERN INTERIOR,ROGERS WAY # 001150 TO 001199,ROGERS WAY,ROGERS WAY,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SIDE SWIPE - OPPOSITE DIRECTION,N,N,\N,\N,N,APRIL,N,CHASE,CHASE,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 1,HWY 1,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SIDE SWIPE - SAME DIRECTION,N,N,49.164626,-122.902117,Y,APRIL,N,DELTA,DELTA,DELTA,Y,N,N,LOWER MAINLAND,116 ST # 008800 TO 008949,116 ST,116 ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,PORT HARDY,PORT HARDY,\N,N,N,N,VANCOUVER ISLAND,UNKNOWN,HWY 19,HWY 19,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,RICHMOND,RICHMOND,\N,N,Y,N,LOWER MAINLAND,UNKNOWN,5 RD,5 RD,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,ROSSLAND,ROSSLAND,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3B,HWY 3B,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,48.430383,-123.351397,Y,APRIL,N,VICTORIA,VICTORIA,VICTORIA,N,Y,N,VANCOUVER ISLAND,CALEDONIA AVE # 001100 TO 001199,CALEDONIA AVE,CALEDONIA AVE,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,49.06493,-122.575961,Y,APRIL,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,34A AVE # 023200 TO 023569,34A AVE,34A AVE,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,49.285732,-123.139453,Y,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,N,Y,N,LOWER MAINLAND,DAVIE ST # 001600 TO 001699,DAVIE ST,DAVIE ST,00:00-02:59,1,0
N,PROPERTY DAMAGE ONLY,\N,N,2022,WEDNESDAY,SINGLE VEHICLE,N,N,49.909158,-119.449599,Y,APRIL,N,KELOWNA,KELOWNA,KELOWNA,N,Y,N,SOUTHERN INTERIOR,YATES RD # 000530 TO 000549,YATES RD,YATES RD,00:00-02:59,1,0
