ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2023,THURSDAY,CONFLICTED,N,N,49.490431,-119.604124,Y,JANUARY,N,PENTICTON,PENTICTON,PENTICTON,N,Y,N,SOUTHERN INTERIOR,RAILWAY ST # 000900 TO 000998 even,RAILWAY ST,RAILWAY ST,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,REAR END,N,N,\N,\N,N,JANUARY,N,DELTA,DELTA,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 99,HWY 99,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,REAR END,N,N,\N,\N,N,JANUARY,N,KELOWNA,KELOWNA,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,BERTRAM ST,BERTRAM ST,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,REAR END,N,N,\N,\N,N,JANUARY,N,NANAIMO,NANAIMO,\N,N,N,N,VANCOUVER ISLAND,UNKNOWN,ISLAND HWY N,ISLAND HWY N,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,REAR END,N,N,49.020469,-122.293741,Y,JANUARY,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,N,N,N,LOWER MAINLAND,MCCALLUM RD # 000800 TO 001199,MCCALLUM RD,MCCALLUM RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,REAR TO REAR,N,N,49.044532,-122.28223,Y,JANUARY,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,N,Y,N,LOWER MAINLAND,GLADYS AVE # 033890 TO 034209,GLADYS AVE,GLADYS AVE,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SIDE IMPACT,N,N,49.126357,-122.799635,Y,JANUARY,N,SURREY,SURREY,SURREY,N,Y,N,LOWER MAINLAND,68 AVE # 015200 TO 015301,68 AVE,68 AVE,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SIDE SWIPE - SAME DIRECTION,N,N,49.213406,-122.97746,Y,JANUARY,N,BURNABY,BURNABY,BURNABY,Y,N,N,LOWER MAINLAND,BULLER AVE # 007700 TO 007799,BULLER AVE,BULLER AVE,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SIDE SWIPE - SAME DIRECTION,N,N,49.243877,-122.892635,Y,JANUARY,N,BURNABY,BURNABY,BURNABY & COQUITLAM,Y,Y,N,LOWER MAINLAND,NORTH RD # 000321 TO 004563 odd,NORTH RD,NORTH RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,JANUARY,N,BEAVERDELL,BEAVERDELL,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 33,HWY 33,09:00-11:59,1,3
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,JANUARY,N,CLINTON,CLINTON,\N,N,N,N,NORTH CENTRAL,UNKNOWN,HWY 97,HWY 97,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,JANUARY,N,DAWSON CREEK,DAWSON CREEK,\N,N,N,N,NORTH CENTRAL,UNKNOWN,215 RD,215 RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,JANUARY,N,LANGLEY,LANGLEY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,GLOUCESTER WAY,GLOUCESTER WAY,09:00-11:59,1,3
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,JANUARY,N,MERRITT,MERRITT,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 97C,HWY 97C,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,JANUARY,N,OLIVER,OLIVER,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,FAIRVIEW RD,FAIRVIEW RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,JANUARY,N,WINTER HARBOUR,WINTER HARBOUR,\N,N,N,N,VANCOUVER ISLAND,UNKNOWN,WINTER HARBOUR RD,WINTER HARBOUR RD,09:00-11:59,1,2
N,CASUALTY CRASH,\N,N,2023,THURSDAY,SINGLE VEHICLE,Y,N,48.653784,-123.412419,Y,JANUARY,N,SIDNEY,SIDNEY,SIDNEY,N,N,Y,VANCOUVER ISLAND,GALARAN RD # 010000 TO 010049,GALARAN RD,GALARAN RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2023,THURSDAY,UNDETERMINED,N,N,49.233409,-123.03449,Y,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,N,Y,N,LOWER MAINLAND,KINGSWAY # 003320 TO 003363,KINGSWAY,KINGSWAY,09:00-11:59,1,1
N,CASUALTY CRASH,10TH AVE,N,2023,THURSDAY,SIDE IMPACT,N,Y,49.216882,-122.931469,N,JANUARY,N,BURNABY,BURNABY,BURNABY & NEW WESTMINSTER,N,N,N,LOWER MAINLAND,10TH AVE & CANADA WAY & EIGHTH ST & TENTH AVE,CANADA WAY,CANADA WAY,09:00-11:59,1,1
N,CASUALTY CRASH,11TH AVE,N,2023,THURSDAY,SIDE IMPACT,N,Y,50.026173,-125.249354,N,JANUARY,N,CAMPBELL RIVER,CAMPBELL RIVER,CAMPBELL RIVER,N,N,N,VANCOUVER ISLAND,11TH AVE & DOGWOOD ST & TURNING LANE,DOGWOOD ST,DOGWOOD ST,09:00-11:59,1,1
