ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2024,THURSDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,UCLUELET,UCLUELET,\N,N,N,N,VANCOUVER ISLAND,UNKNOWN,BARKLEY FOREST SERVICE RD,BARKLEY FOREST SERVICE RD,00:00-02:59,1,1
N,CASUALTY CRASH,\N,N,2024,THURSDAY,UNDETERMINED,Y,N,49.131842,-122.304916,Y,APRIL,N,MISSION,MISSION,MISSION,Y,Y,N,LOWER MAINLAND,LONDON AVE # 033200 TO 033269,LONDON AVE,LONDON AVE,00:00-02:59,1,1
N,CASUALTY CRASH,140 ST,N,2024,THURSDAY,REAR END,N,Y,49.155514,-122.834619,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,140 ST & 84 AVE,84 AVE,84 AVE,00:00-02:59,1,1
N,CASUALTY CRASH,68 AVE,N,2024,THURSDAY,SIDE IMPACT,N,Y,49.126405,-122.856599,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,132 ST & 68 AVE,132 ST,132 ST,00:00-02:59,1,2
N,CASUALTY CRASH,84 AVE,N,2024,THURSDAY,SIDE SWIPE - SAME DIRECTION,N,Y,49.155532,-122.801422,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,152 ST & 84 AVE,152 ST,152 ST,00:00-02:59,1,1
N,CASUALTY CRASH,ALEX FRASER BRIDGE,N,2024,THURSDAY,SIDE IMPACT,N,Y,49.170914,-122.951312,N,APRIL,N,DELTA,DELTA,DELTA & RICHMOND,N,N,N,LOWER MAINLAND,ALEX FRASER BRIDGE & CLIVEDEN AVE & CLIVEDEN AVE OFFRAMP & CLIVEDEN AVE ONRAMP & HWY 91,HWY 91,HWY 91,00:00-02:59,1,1
N,CASUALTY CRASH,JOHN ST,Y,2024,THURSDAY,UNDETERMINED,N,Y,49.24872,-123.097177,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,Y,LOWER MAINLAND,E KING EDWARD AVE & JOHN ST,E KING EDWARD AVE,E KING EDWARD AVE,00:00-02:59,1,1
N,CASUALTY CRASH,NORDEL WAY,N,2024,THURSDAY,CONFLICTED,N,Y,49.146506,-122.944458,N,APRIL,N,DELTA,DELTA,DELTA,N,N,N,LOWER MAINLAND,HWY 17 & HWY 91 & HWY 91 CONN & HWY 91 CONN OFFRAMP & HWY 91 CONN ONRAMP & NORDEL WAY & NORDEL WAY OFFRAMP & NORDEL WAY ONRAMP & NORDEL WAY OVERPASS & WEIGH SCALE RD & SCALE ACCESS & TURNING LANE,HWY 91,HWY 91,00:00-02:59,1,3
N,CASUALTY CRASH,PATTULLO BRIDGE,N,2024,THURSDAY,SIDE IMPACT,N,Y,49.205712,-122.885244,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,BRIDGE RD & KING GEORGE BLVD & PATTULLO BRIDGE,HWY 1A,HWY 1A,00:00-02:59,1,1
N,CASUALTY CRASH,SLOCAN ST,N,2024,THURSDAY,SIDE IMPACT,N,Y,49.281159,-123.049336,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,E HASTINGS ST & SLOCAN ST,E HASTINGS ST,E HASTINGS ST,00:00-02:59,1,1
