ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2024,FRIDAY,HEAD ON,Y,N,49.294459,-117.652889,Y,MAY,N,CASTLEGAR,CASTLEGAR,CASTLEGAR,N,N,N,SOUTHERN INTERIOR,COLUMBIA AVE # 002000 TO 002032 even,HWY 22,HWY 22,03:00-05:59,1,2
N,CASUALTY CRASH,\N,N,2024,FRIDAY,SINGLE VEHICLE,N,N,49.220783,-123.158552,Y,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,SW MARINE DR # 002200 TO 002269,SW MARINE DR,SW MARINE DR,03:00-05:59,1,1
N,CASUALTY CRASH,\N,N,2024,FRIDAY,SINGLE VEHICLE,N,N,49.280172,-122.793648,Y,MAY,N,COQUITLAM,COQUITLAM,COQUITLAM,N,N,Y,LOWER MAINLAND,PINETREE WAY # 001141 TO 001159 odd,PINETREE WAY,PINETREE WAY,03:00-05:59,1,1
N,CASUALTY CRASH,11TH AVE,N,2024,FRIDAY,SIDE IMPACT,N,Y,49.214132,-122.938863,N,MAY,N,BURNABY,BURNABY,BURNABY,N,N,N,LOWER MAINLAND,11TH AVE & KINGSWAY,KINGSWAY,KINGSWAY,03:00-05:59,1,1
N,CASUALTY CRASH,132 ST,N,2024,FRIDAY,CONFLICTED,N,Y,49.108198,-122.856719,N,MAY,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,132 ST & 58 AVE,58 AVE,58 AVE,03:00-05:59,1,2
N,CASUALTY CRASH,140 ST,N,2024,FRIDAY,SIDE IMPACT,N,Y,49.133605,-122.834459,N,MAY,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,140 ST & 72 AVE,72 AVE,72 AVE,03:00-05:59,1,1
N,CASUALTY CRASH,24 AVE,N,2024,FRIDAY,CONFLICTED,N,Y,49.045644,-122.669406,N,MAY,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,200 ST & 24 AVE,200 ST,200 ST,03:00-05:59,1,2
N,CASUALTY CRASH,3RD AVE E,N,2024,FRIDAY,CONFLICTED,N,Y,54.315139,-130.321032,N,MAY,N,PRINCE RUPERT,PRINCE RUPERT,PRINCE RUPERT,N,N,N,NORTH CENTRAL,3RD AVE E & 3RD AVE W & MARKET PL & MCBRIDE ST,MCBRIDE ST,MCBRIDE ST,03:00-05:59,1,1
N,CASUALTY CRASH,80 AVE,N,2024,FRIDAY,REAR END,N,Y,49.148038,-122.734796,N,MAY,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,176 ST & 80 AVE & TURNING LANE,176 ST,176 ST,03:00-05:59,1,1
N,CASUALTY CRASH,CALLAGHAN AVE,N,2024,FRIDAY,HEAD ON,N,Y,49.213349,-122.604136,N,MAY,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,N,N,N,LOWER MAINLAND,116 AVE & 223 ST & CALLAGHAN AVE & HANEY BYPASS & TURNING LANE,223 ST,223 ST,03:00-05:59,1,1
N,CASUALTY CRASH,CARNATION ST,N,2024,FRIDAY,SINGLE VEHICLE,N,N,\N,\N,N,MAY,N,TRAIL,TRAIL,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3B,HWY 3B,03:00-05:59,1,1
