ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2024,SATURDAY,CONFLICTED,N,N,\N,\N,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2024,SATURDAY,HEAD ON,N,N,\N,\N,N,SEPTEMBER,N,CRANBROOK,CRANBROOK,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3,HWY 3,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,REAR END,N,N,49.021743,-122.265356,Y,SEPTEMBER,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,N,Y,N,LOWER MAINLAND,SUMAS WAY # 001000 TO 001189,SUMAS WAY,SUMAS WAY,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,REAR END,N,N,49.2663,-123.115681,Y,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,W 2ND AVE # 000511 TO 000549 odd,W 2ND AVE,W 2ND AVE,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,REAR END,N,N,50.000399,-125.230705,Y,SEPTEMBER,N,CAMPBELL RIVER,CAMPBELL RIVER,CAMPBELL RIVER,N,N,N,VANCOUVER ISLAND,ISLAND HWY S # 000204 TO 000617,ISLAND HWY S,ISLAND HWY S,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,REAR TO REAR,N,N,49.119063,-122.678466,Y,SEPTEMBER,N,LANGLEY,LANGLEY,LANGLEY,N,Y,N,LOWER MAINLAND,64 AVE # 019600 TO 019699,64 AVE,64 AVE,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,REAR TO REAR,N,N,49.170105,-123.182265,Y,SEPTEMBER,N,RICHMOND,RICHMOND,RICHMOND,Y,Y,N,LOWER MAINLAND,WESTMINSTER HWY # 003601 TO 003999,WESTMINSTER HWY,WESTMINSTER HWY,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,REAR TO REAR,N,N,49.202629,-122.874113,Y,SEPTEMBER,N,SURREY,SURREY,SURREY,Y,Y,N,LOWER MAINLAND,110 AVE # 012500 TO 012626,110 AVE,110 AVE,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,SIDE IMPACT,N,N,\N,\N,N,SEPTEMBER,N,LANGLEY,LANGLEY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,LANGLEY BYPASS,LANGLEY BYPASS,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2024,SATURDAY,SIDE IMPACT,N,N,48.434351,-123.358137,Y,SEPTEMBER,N,VICTORIA,VICTORIA,VICTORIA,N,Y,N,VANCOUVER ISLAND,QUADRA ST # 002300 TO 002399,QUADRA ST,QUADRA ST,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,SIDE IMPACT,N,N,49.228116,-122.998531,Y,SEPTEMBER,N,BURNABY,BURNABY,BURNABY,Y,Y,N,LOWER MAINLAND,KINGSWAY # 004700 TO 004749,KINGSWAY,KINGSWAY,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,SIDE SWIPE - SAME DIRECTION,N,N,\N,\N,N,SEPTEMBER,N,CHILLIWACK,CHILLIWACK,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,SINGLE VEHICLE,N,N,\N,\N,N,SEPTEMBER,N,KEREMEOS,KEREMEOS,\N,Y,N,Y,SOUTHERN INTERIOR,UNKNOWN,HWY 3A,HWY 3A,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2024,SATURDAY,SINGLE VEHICLE,N,N,48.831474,-123.718121,Y,SEPTEMBER,Y,DUNCAN,DUNCAN,DUNCAN,N,N,N,VANCOUVER ISLAND,TRANS-CANADA HWY # 007096 TO 007368 even,HWY 1,HWY 1,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,SINGLE VEHICLE,N,N,50.66763,-121.911903,Y,SEPTEMBER,Y,LILLOOET,LILLOOET,LILLOOET,N,N,N,SOUTHERN INTERIOR,LYTTON-LILLOOET HWY 12 # 001559 TO 002799,HWY 12,HWY 12,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,UNDETERMINED,N,N,\N,\N,N,SEPTEMBER,Y,PEACHLAND,PEACHLAND,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 97,HWY 97,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,UNDETERMINED,N,N,49.198753,-122.814992,Y,SEPTEMBER,N,SURREY,SURREY,SURREY,Y,Y,N,LOWER MAINLAND,108 AVE # 014600 TO 014799,108 AVE,108 AVE,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2024,SATURDAY,UNDETERMINED,N,N,49.329033,-123.165374,Y,SEPTEMBER,N,WEST VANCOUVER,WEST VANCOUVER,WEST VANCOUVER,N,Y,N,LOWER MAINLAND,MARINE DR # 001900 TO 001999,MARINE DR,MARINE DR,12:00-14:59,1,2
N,CASUALTY CRASH,\N,Y,2024,SATURDAY,UNDETERMINED,N,N,49.011316,-122.625141,Y,SEPTEMBER,Y,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,216 ST # 000400 TO 000599,216 ST,216 ST,12:00-14:59,1,2
N,CASUALTY CRASH,100 AVE,N,2024,SATURDAY,SIDE SWIPE - SAME DIRECTION,N,Y,49.184272,-122.845453,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,100 AVE & KING GEORGE BLVD & OLD YALE RD,KING GEORGE BLVD,KING GEORGE BLVD,12:00-14:59,1,1
N,CASUALTY CRASH,101A AVE,N,2024,SATURDAY,REAR END,N,Y,49.18663,-122.806458,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,101A AVE & 150 ST,150 ST,150 ST,12:00-14:59,1,1
N,CASUALTY CRASH,105 AVE,N,2024,SATURDAY,CONFLICTED,N,Y,49.19306,-122.812461,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,105 AVE & 148 ST,148 ST,148 ST,12:00-14:59,1,1
N,CASUALTY CRASH,10TH AVE,N,2024,SATURDAY,UNDETERMINED,N,Y,49.213429,-122.937862,N,SEPTEMBER,N,BURNABY,BURNABY,BURNABY & NEW WESTMINSTER,N,N,N,LOWER MAINLAND,10TH AVE & KINGSWAY & TENTH AVE & TWELFTH ST,KINGSWAY,KINGSWAY,12:00-14:59,1,2
N,CASUALTY CRASH,120 ST,N,2024,SATURDAY,REAR TO REAR,N,Y,49.134037,-122.890359,N,SEPTEMBER,N,DELTA,DELTA,DELTA & SURREY,N,Y,N,LOWER MAINLAND,120 ST & 72 AVE,72 AVE,72 AVE,12:00-14:59,1,2
N,CASUALTY CRASH,124 ST,N,2024,SATURDAY,REAR END,N,Y,49.163272,-122.879055,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,Y,N,LOWER MAINLAND,124 ST & 88 AVE & INDUSTRIAL ACCESS & TURNING LANE,88 AVE,88 AVE,12:00-14:59,1,1
N,CASUALTY CRASH,128 ST,N,2024,SATURDAY,SIDE IMPACT,N,Y,49.137426,-122.867873,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,128 ST & 74 AVE,74 AVE,74 AVE,12:00-14:59,1,3
N,CASUALTY CRASH,16 AVE,N,2024,SATURDAY,REAR END,N,Y,49.031065,-122.779177,N,SEPTEMBER,N,SURREY,SURREY,SURREY & WHITE ROCK,N,N,N,LOWER MAINLAND,16 AVE & 160 ST & NORTH BLUFF RD & STAYTE RD,160 ST,160 ST,12:00-14:59,1,1
N,CASUALTY CRASH,160 ST,N,2024,SATURDAY,REAR END,N,Y,49.15734,-122.778895,N,SEPTEMBER,N,SURREY,SURREY,SURREY,Y,Y,N,LOWER MAINLAND,160 ST & FRASER HWY & TURNING LANE,FRASER HWY,FRASER HWY,12:00-14:59,1,1
N,CASUALTY CRASH,184 ST,N,2024,SATURDAY,UNDETERMINED,N,Y,49.04566,-122.713483,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,184 ST & 24 AVE,24 AVE,24 AVE,12:00-14:59,1,1
N,CASUALTY CRASH,200 ST,N,2024,SATURDAY,REAR END,N,Y,49.148264,-122.668222,N,SEPTEMBER,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,200 ST & 80 AVE,80 AVE,80 AVE,12:00-14:59,1,2
N,CASUALTY CRASH,208 ST,N,2024,SATURDAY,REAR END,N,Y,49.176972,-122.646281,N,SEPTEMBER,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,208 ST & 96 AVE & TURNING LANE,96 AVE,96 AVE,12:00-14:59,1,1
N,CASUALTY CRASH,222 ST,N,2024,SATURDAY,REAR END,N,Y,49.220495,-122.60701,N,SEPTEMBER,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,N,N,N,LOWER MAINLAND,222 ST & DEWDNEY TRUNK RD,DEWDNEY TRUNK RD,DEWDNEY TRUNK RD,12:00-14:59,1,1
N,CASUALTY CRASH,232 ST ONRAMP,N,2024,SATURDAY,UNDETERMINED,N,Y,49.136327,-122.581328,N,SEPTEMBER,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,232 ST & 232 ST OFFRAMP & 232 ST ONRAMP & 72 AVE & 72 AVE ONRAMP & TRANS-CANADA HWY,HWY 1,HWY 1,12:00-14:59,1,3
N,CASUALTY CRASH,248 ST,N,2024,SATURDAY,CONFLICTED,N,Y,49.030606,-122.536995,N,SEPTEMBER,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,16 AVE & 248 ST,16 AVE,16 AVE,12:00-14:59,1,2
N,CASUALTY CRASH,270 ST,N,2024,SATURDAY,SIDE IMPACT,N,Y,49.058205,-122.476549,N,SEPTEMBER,Y,LANGLEY,LANGLEY,LANGLEY,N,Y,N,LOWER MAINLAND,270 ST & FRASER HWY & TURNING LANE,FRASER HWY,FRASER HWY,12:00-14:59,1,1
N,CASUALTY CRASH,280 ST,N,2024,SATURDAY,CONFLICTED,N,Y,49.174071,-122.444206,N,SEPTEMBER,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,N,N,N,LOWER MAINLAND,280 ST & LOUGHEED HWY,LOUGHEED HWY,LOUGHEED HWY,12:00-14:59,1,4
N,CASUALTY CRASH,4 AVE,N,2024,SATURDAY,SIDE IMPACT,N,Y,49.009392,-122.740221,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,174 ST & 4 AVE,174 ST,174 ST,12:00-14:59,1,3
N,CASUALTY CRASH,72 AVE,N,2024,SATURDAY,REAR END,N,Y,49.133589,-122.69621,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,190 ST & 72 AVE,190 ST,190 ST,12:00-14:59,1,1
N,CASUALTY CRASH,72 AVE,N,2024,SATURDAY,SIDE IMPACT,N,Y,49.133605,-122.67955,N,SEPTEMBER,N,LANGLEY,LANGLEY,LANGLEY & SURREY,N,N,N,LOWER MAINLAND,196 ST & 72 AVE,196 ST,196 ST,12:00-14:59,1,1
N,CASUALTY CRASH,72A AVE,N,2024,SATURDAY,SIDE IMPACT,N,Y,49.134934,-122.842782,N,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,137 ST & 72A AVE,137 ST,137 ST,12:00-14:59,1,2
N,CASUALTY CRASH,8TH AVE,N,2024,SATURDAY,SIDE IMPACT,N,Y,49.254749,-124.800306,N,SEPTEMBER,N,PORT ALBERNI,PORT ALBERNI,PORT ALBERNI,N,N,N,VANCOUVER ISLAND,8TH AVE & DOGWOOD ST,DOGWOOD ST,DOGWOOD ST,12:00-14:59,1,2
N,CASUALTY CRASH,ADMIRALS RD,N,2024,SATURDAY,REAR END,N,Y,48.429894,-123.416958,N,SEPTEMBER,N,ESQUIMALT,ESQUIMALT,ESQUIMALT,N,N,N,VANCOUVER ISLAND,ADMIRALS RD & ESQUIMALT RD,ESQUIMALT RD,ESQUIMALT RD,12:00-14:59,1,1
N,CASUALTY CRASH,ALEXANDRA RD,N,2024,SATURDAY,SIDE SWIPE - SAME DIRECTION,Y,Y,49.17837,-123.13652,N,SEPTEMBER,N,RICHMOND,RICHMOND,RICHMOND,N,N,N,LOWER MAINLAND,ALEXANDRA RD & NO 3 RD,NO 3 RD,NO 3 RD,12:00-14:59,1,1
N,CASUALTY CRASH,ARGYLE ST,N,2024,SATURDAY,HEAD ON,N,Y,49.211013,-123.071303,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,ARGYLE ST & SE MARINE DR,SE MARINE DR,SE MARINE DR,12:00-14:59,1,2
N,CASUALTY CRASH,BANKS RD,N,2024,SATURDAY,SIDE IMPACT,N,Y,49.886218,-119.425379,N,SEPTEMBER,N,KELOWNA,KELOWNA,KELOWNA,N,N,N,SOUTHERN INTERIOR,BANKS RD & HWY 97 N & TURNING LANE,HWY 97,HWY 97,12:00-14:59,1,1
N,CASUALTY CRASH,BARNET HWY,N,2024,SATURDAY,REAR END,N,Y,49.277254,-122.801671,N,SEPTEMBER,N,COQUITLAM,COQUITLAM,COQUITLAM,N,N,N,LOWER MAINLAND,BARNET HWY & JOHNSON ST & MARINER WAY & TURNING LANE,MARINER WAY,MARINER WAY,12:00-14:59,1,2
N,CASUALTY CRASH,BARTLEY RD,N,2024,SATURDAY,UNDETERMINED,N,Y,49.860843,-119.587227,N,SEPTEMBER,Y,WEST KELOWNA,WEST KELOWNA,WEST KELOWNA,N,N,N,SOUTHERN INTERIOR,BARTLEY RD & ROSS RD,ROSS RD,ROSS RD,12:00-14:59,1,1
