ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2025,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,GLEN VOWELL,GLEN VOWELL,\N,N,N,N,NORTH CENTRAL,UNKNOWN,KISPIOX VALLEY RD,KISPIOX VALLEY RD,00:00-02:59,1,1
N,CASUALTY CRASH,272ND STREET,N,2025,MONDAY,SINGLE VEHICLE,N,N,\N,\N,N,APRIL,N,UNKNOWN,UNKNOWN,\N,N,N,N,UNKNOWN,UNKNOWN,4318 272ND STREET,4318 272ND STREET,00:00-02:59,1,1
N,CASUALTY CRASH,64 AVE,N,2025,MONDAY,SINGLE VEHICLE,N,Y,49.119042,-122.845493,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,64 AVE & KING GEORGE BLVD & TURNING LANE,KING GEORGE BLVD,KING GEORGE BLVD,00:00-02:59,1,1
N,CASUALTY CRASH,90 AVE,N,2025,MONDAY,REAR END,N,Y,49.167154,-122.868047,N,APRIL,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,128 ST & 90 AVE,128 ST,128 ST,00:00-02:59,1,1
N,CASUALTY CRASH,92 AVE,N,2025,MONDAY,UNDETERMINED,N,N,\N,\N,N,APRIL,N,SURREY,SURREY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,116 ST,116 ST,00:00-02:59,1,1
N,CASUALTY CRASH,CLARK DR,N,2025,MONDAY,SIDE IMPACT,N,Y,49.281344,-123.0771,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,CLARK DR & E HASTINGS ST,E HASTINGS ST,E HASTINGS ST,00:00-02:59,1,1
N,CASUALTY CRASH,EDMONDS ST,N,2025,MONDAY,REAR END,N,Y,49.215216,-122.957032,N,APRIL,N,BURNABY,BURNABY,BURNABY,N,N,N,LOWER MAINLAND,18TH ST & EDMONDS ST & SALISBURY AVE,SALISBURY AVE,SALISBURY AVE,00:00-02:59,1,2
N,CASUALTY CRASH,HEAD ST,N,2025,MONDAY,REAR END,N,Y,48.430592,-123.400613,N,APRIL,N,ESQUIMALT,ESQUIMALT,ESQUIMALT,Y,N,N,VANCOUVER ISLAND,ESQUIMALT RD & HEAD ST,ESQUIMALT RD,ESQUIMALT RD,00:00-02:59,1,1
N,CASUALTY CRASH,HWY 1A,N,2025,MONDAY,SINGLE VEHICLE,N,Y,49.059526,-122.49269,N,APRIL,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,264 ST & FRASER HWY & TURNING LANE,HWY 13,HWY 13,00:00-02:59,1,1
N,PROPERTY DAMAGE ONLY,\N,N,2025,MONDAY,CONFLICTED,N,N,49.262737,-124.820201,Y,APRIL,N,PORT ALBERNI,PORT ALBERNI,PORT ALBERNI,N,N,N,VANCOUVER ISLAND,BEAVER CREEK RD # 004851 TO 004919,BEAVER CREEK RD,BEAVER CREEK RD,00:00-02:59,1,0
