ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2025,SATURDAY,CONFLICTED,N,N,49.138657,-122.845533,Y,MAY,N,SURREY,SURREY,SURREY,N,Y,N,LOWER MAINLAND,KING GEORGE BLVD # 007400 TO 007542 even,KING GEORGE BLVD,KING GEORGE BLVD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,CONFLICTED,N,N,49.205986,-123.032159,Y,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,SAWMILL CRES # 003400 TO 003499,SAWMILL CRES,SAWMILL CRES,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,HEAD ON,N,N,\N,\N,N,MAY,N,WILLIAMS LAKE,WILLIAMS LAKE,\N,N,N,N,NORTH CENTRAL,UNKNOWN,HWY 97S,HWY 97S,09:00-11:59,1,3
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,\N,\N,N,MAY,N,MESACHIE LAKE,MESACHIE LAKE,\N,N,N,N,VANCOUVER ISLAND,UNKNOWN,PACIFIC MARINE RD,PACIFIC MARINE RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,49.149206,-122.845591,Y,MAY,N,SURREY,SURREY,SURREY,N,Y,N,LOWER MAINLAND,KING GEORGE BLVD # 008000 TO 008078 even,KING GEORGE BLVD,KING GEORGE BLVD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR TO REAR,N,N,48.439546,-123.506496,Y,MAY,N,LANGFORD,LANGFORD,LANGFORD,Y,Y,N,VANCOUVER ISLAND,PHIPPS RD # 002950 TO 002999,PHIPPS RD,PHIPPS RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,SIDE IMPACT,N,N,49.153566,-123.15893,Y,MAY,N,RICHMOND,RICHMOND,RICHMOND,N,N,N,LOWER MAINLAND,NO 2 RD # 008000 TO 008451,NO 2 RD,NO 2 RD,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,SIDE IMPACT,N,N,49.180644,-122.788511,Y,MAY,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,98 AVE # 015600 TO 015699,98 AVE,98 AVE,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,SIDE IMPACT,N,N,50.264943,-119.270724,Y,MAY,N,VERNON,VERNON,VERNON,N,Y,N,SOUTHERN INTERIOR,30 ST # 003100 TO 003199,30 ST,30 ST,09:00-11:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,SIDE SWIPE - SAME DIRECTION,N,N,\N,\N,N,MAY,N,RICHMOND,RICHMOND,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 91,HWY 91,09:00-11:59,1,2
