ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2025,TUESDAY,CONFLICTED,N,N,\N,\N,N,AUGUST,N,LANGLEY,LANGLEY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,CONFLICTED,N,N,49.208341,-122.576817,Y,AUGUST,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,N,Y,N,LOWER MAINLAND,COTTONWOOD DR # 011281 TO 011359,COTTONWOOD DR,COTTONWOOD DR,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,REAR END,N,N,\N,\N,N,AUGUST,N,ABBOTSFORD,ABBOTSFORD,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,REAR END,N,N,\N,\N,N,AUGUST,N,DELTA,DELTA,\N,N,N,N,LOWER MAINLAND,UNKNOWN,AT MERGING 72 AND HIGHWAY 91,AT MERGING 72 AND HIGHWAY 91,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,REAR END,N,N,\N,\N,N,AUGUST,N,NEW WESTMINSTER,NEW WESTMINSTER,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 91,HWY 91,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,REAR END,N,N,\N,\N,N,AUGUST,N,RICHMOND,RICHMOND,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 99,HWY 99,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,REAR END,Y,N,\N,\N,N,AUGUST,N,BURNABY,BURNABY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,SIDE IMPACT,Y,N,\N,\N,N,AUGUST,N,CANAL FLATS,CANAL FLATS,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 93 AND 95,HWY 93 AND 95,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,SIDE SWIPE - SAME DIRECTION,N,N,\N,\N,N,AUGUST,N,DELTA,DELTA,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 99,HWY 99,06:00-08:59,1,1
N,CASUALTY CRASH,\N,N,2025,TUESDAY,SINGLE VEHICLE,N,N,\N,\N,N,AUGUST,N,KAMLOOPS,KAMLOOPS,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 5A KNUTSFORD,HWY 5A KNUTSFORD,06:00-08:59,1,1
N,CASUALTY CRASH,100 AVE,N,2025,TUESDAY,SIDE IMPACT,N,Y,49.18422,-122.80653,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,100 AVE & 150 ST,150 ST,150 ST,06:00-08:59,1,1
N,CASUALTY CRASH,108 AVE,N,2025,TUESDAY,REAR END,N,Y,49.198752,-122.800842,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,108 AVE & 152 ST,152 ST,152 ST,06:00-08:59,2,2
N,CASUALTY CRASH,10TH AVE,N,2025,TUESDAY,HEAD ON,N,Y,49.216882,-122.931469,N,AUGUST,N,BURNABY,BURNABY,BURNABY & NEW WESTMINSTER,N,N,N,LOWER MAINLAND,10TH AVE & CANADA WAY & EIGHTH ST & TENTH AVE,CANADA WAY,CANADA WAY,06:00-08:59,1,3
N,CASUALTY CRASH,144 ST,N,2025,TUESDAY,CONFLICTED,N,Y,49.198795,-122.823043,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,108 AVE & 144 ST,108 AVE,108 AVE,06:00-08:59,1,1
N,CASUALTY CRASH,148 ST,N,2025,TUESDAY,REAR END,N,Y,49.1045,-122.812297,N,AUGUST,N,SURREY,SURREY,SURREY,Y,N,N,LOWER MAINLAND,148 ST & 56 AVE,HWY 10,HWY 10,06:00-08:59,1,1
N,CASUALTY CRASH,152 ST,N,2025,TUESDAY,SINGLE VEHICLE,Y,Y,49.191498,-122.800899,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,Y,LOWER MAINLAND,104 AVE & 152 ST,104 AVE,104 AVE,06:00-08:59,1,1
N,CASUALTY CRASH,16 AVE,N,2025,TUESDAY,REAR END,N,Y,49.031281,-122.625036,N,AUGUST,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,16 AVE & 216 ST,216 ST,216 ST,06:00-08:59,1,1
N,CASUALTY CRASH,192 ST,N,2025,TUESDAY,REAR END,N,Y,49.170325,-122.692254,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,192 ST & 192 ST OFFRAMP & 192 ST ONRAMP & TRANS-CANADA HWY,HWY 1,HWY 1,06:00-08:59,1,2
N,CASUALTY CRASH,20 AVE,N,2025,TUESDAY,SIDE IMPACT,N,Y,49.03846,-122.7352,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,176 ST & 20 AVE,176 ST,176 ST,06:00-08:59,1,2
N,CASUALTY CRASH,62 AVE,N,2025,TUESDAY,CONFLICTED,N,Y,49.114559,-122.801022,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,152 ST & 62 AVE,152 ST,152 ST,06:00-08:59,1,2
N,CASUALTY CRASH,62 AVE,N,2025,TUESDAY,SIDE IMPACT,N,Y,49.115442,-122.844415,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,62 AVE & KING GEORGE BLVD & TURNING LANE,KING GEORGE BLVD,KING GEORGE BLVD,06:00-08:59,1,2
N,CASUALTY CRASH,80 AVE,N,2025,TUESDAY,CONFLICTED,N,Y,49.147403,-122.624197,N,AUGUST,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,216 ST & 80 AVE & UNIVERSITY DR,216 ST,216 ST,06:00-08:59,1,1
N,CASUALTY CRASH,91 AVE,N,2025,TUESDAY,SIDE IMPACT,Y,Y,56.237198,-120.821435,N,AUGUST,N,FORT ST. JOHN,FORT ST. JOHN,FORT ST. JOHN,N,N,N,NORTH CENTRAL,86 ST & 91 AVE,86 ST,86 ST,06:00-08:59,1,1
N,CASUALTY CRASH,96 AVE,N,2025,TUESDAY,REAR END,N,Y,49.176843,-122.801039,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,152 ST & 96 AVE,152 ST,152 ST,06:00-08:59,1,1
N,CASUALTY CRASH,96 AVE,N,2025,TUESDAY,SIDE IMPACT,N,Y,49.176849,-122.806619,N,AUGUST,Y,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,150 ST & 96 AVE,150 ST,150 ST,06:00-08:59,1,1
N,CASUALTY CRASH,96 AVE,N,2025,TUESDAY,SIDE IMPACT,N,Y,49.177066,-122.85131,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,134 ST & 96 AVE,134 ST,134 ST,06:00-08:59,1,1
N,CASUALTY CRASH,ARGYLE ST,N,2025,TUESDAY,REAR END,Y,Y,49.211013,-123.071303,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,ARGYLE ST & SE MARINE DR,SE MARINE DR,SE MARINE DR,06:00-08:59,1,2
N,CASUALTY CRASH,BARNET HWY,N,2025,TUESDAY,UNDETERMINED,N,Y,49.29131,-122.877552,N,AUGUST,N,PORT MOODY,PORT MOODY,PORT MOODY,N,N,N,LOWER MAINLAND,BARNET HWY & REED POINT WAY & TURNING LANE,REED POINT WAY,REED POINT WAY,06:00-08:59,1,2
N,CASUALTY CRASH,BROADWAY,N,2025,TUESDAY,REAR END,N,Y,49.264089,-122.900334,N,AUGUST,N,BURNABY,BURNABY,BURNABY,N,N,N,LOWER MAINLAND,BROADWAY & GAGLARDI WAY & TURNING LANE,GAGLARDI WAY,GAGLARDI WAY,06:00-08:59,1,1
N,CASUALTY CRASH,CAMBIE RD,N,2025,TUESDAY,CONFLICTED,N,Y,49.184602,-123.077267,N,AUGUST,N,RICHMOND,RICHMOND,RICHMOND,N,N,N,LOWER MAINLAND,CAMBIE RD & KNIGHT ST,KNIGHT ST,KNIGHT ST,06:00-08:59,1,1
N,CASUALTY CRASH,CLEARBROOK RD,N,2025,TUESDAY,SIDE IMPACT,N,Y,49.051921,-122.33777,N,AUGUST,N,ABBOTSFORD,ABBOTSFORD,ABBOTSFORD,N,N,N,LOWER MAINLAND,CLEARBROOK RD & OLD YALE RD,OLD YALE RD,OLD YALE RD,06:00-08:59,1,3
N,CASUALTY CRASH,E 10TH AVE,Y,2025,TUESDAY,SINGLE VEHICLE,N,Y,49.261557,-123.094966,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,E 10TH AVE & GUELPH ST,GUELPH ST,GUELPH ST,06:00-08:59,1,1
N,CASUALTY CRASH,E 33RD AVE,N,2025,TUESDAY,REAR END,N,Y,49.240059,-123.065367,N,AUGUST,Y,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,E 33RD AVE & VICTORIA DR,VICTORIA DR,VICTORIA DR,06:00-08:59,1,1
N,CASUALTY CRASH,E HASTINGS ST,N,2025,TUESDAY,REAR END,N,Y,49.281139,-123.023506,N,AUGUST,N,BURNABY,BURNABY,BURNABY & VANCOUVER,N,N,N,LOWER MAINLAND,BOUNDARY RD & E HASTINGS ST & HASTINGS ST,BOUNDARY RD,BOUNDARY RD,06:00-08:59,1,2
N,CASUALTY CRASH,E KEITH RD,Y,2025,TUESDAY,SINGLE VEHICLE,N,Y,49.313299,-123.040514,N,AUGUST,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,N,N,N,LOWER MAINLAND,BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,MOUNTAIN HWY,MOUNTAIN HWY,06:00-08:59,1,1
N,CASUALTY CRASH,EJ HUGHES PL,N,2025,TUESDAY,REAR END,N,Y,48.777939,-123.710964,N,AUGUST,N,DUNCAN,DUNCAN,DUNCAN,N,N,N,VANCOUVER ISLAND,EJ HUGHES PL & GOVERNMENT ST,GOVERNMENT ST,GOVERNMENT ST,06:00-08:59,1,1
N,CASUALTY CRASH,FERGUSON DIVERS,N,2025,TUESDAY,REAR END,N,Y,49.19698,-122.800532,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,152 ST & 152 ST OFFRAMP & 152 ST ONRAMP & FERGUSON DIVERSION & GUILDFORD DR & TURNING LANE,152 ST,152 ST,06:00-08:59,1,1
N,CASUALTY CRASH,GRANVILLE ST,N,2025,TUESDAY,CONFLICTED,N,Y,49.205303,-123.140462,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,GRANVILLE ST & MILTON ST & SW MARINE DR,SW MARINE DR,SW MARINE DR,06:00-08:59,1,2
N,CASUALTY CRASH,HARVIE RD,N,2025,TUESDAY,REAR END,N,Y,49.147959,-122.720075,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,80 AVE & HARVIE RD,80 AVE,80 AVE,06:00-08:59,1,2
N,CASUALTY CRASH,HIGHWAY 1 - BEFORE GAGLARDI EX,N,2025,TUESDAY,REAR END,N,N,\N,\N,N,AUGUST,N,BURNABY,BURNABY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HIGHWAY 1 - WESTBOUND,HIGHWAY 1 - WESTBOUND,06:00-08:59,1,1
N,CASUALTY CRASH,HWY 10,N,2025,TUESDAY,REAR END,N,Y,49.111881,-122.645899,N,AUGUST,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,GLOVER RD & LANGLEY BYPASS & TURNING LANE,GLOVER RD,GLOVER RD,06:00-08:59,1,1
N,CASUALTY CRASH,HWY 15,N,2025,TUESDAY,REAR END,N,Y,49.104096,-122.738282,N,AUGUST,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,175 ST & 56 AVE & TURNING LANE,HWY 10,HWY 10,06:00-08:59,1,1
N,CASUALTY CRASH,HWY 6,N,2025,TUESDAY,CONFLICTED,N,Y,50.233884,-119.015003,N,AUGUST,N,LUMBY,LUMBY,LUMBY,N,N,N,SOUTHERN INTERIOR,DURE MEADOW RD & HWY 6,DURE MEADOW RD,DURE MEADOW RD,06:00-08:59,1,4
N,CASUALTY CRASH,HWY 91,N,2025,TUESDAY,REAR END,Y,Y,49.102485,-122.900334,N,AUGUST,N,DELTA,DELTA,DELTA,N,N,N,LOWER MAINLAND,HWY 10 & HWY 10 OFFRAMP & HWY 10 ONRAMP & HWY 91,HWY 10,HWY 10,06:00-08:59,1,1
