ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2025,SATURDAY,CONFLICTED,N,N,\N,\N,N,AUGUST,N,WEST KELOWNA,WEST KELOWNA,\N,N,N,N,SOUTHERN INTERIOR,UNKNOWN,WESTSIDE RD,WESTSIDE RD,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2025,SATURDAY,CONFLICTED,N,N,49.221945,-122.969297,Y,AUGUST,N,BURNABY,BURNABY,BURNABY,Y,N,N,LOWER MAINLAND,IMPERIAL ST # 006400 TO 006599,IMPERIAL ST,IMPERIAL ST,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2025,SATURDAY,CONFLICTED,N,N,50.054536,-119.411357,Y,AUGUST,N,LAKE COUNTRY,LAKE COUNTRY,LAKE COUNTRY,N,Y,N,SOUTHERN INTERIOR,OCEOLA RD # 007400 TO 011899,OCEOLA RD,OCEOLA RD,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,\N,\N,N,AUGUST,N,MISSION,MISSION,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 7,HWY 7,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,\N,\N,N,AUGUST,N,PRINCETON,PRINCETON,\N,Y,N,N,SOUTHERN INTERIOR,UNKNOWN,HWY 3,HWY 3,12:00-14:59,1,5
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,\N,\N,N,AUGUST,N,RICHMOND,RICHMOND,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 91,HWY 91,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,\N,\N,N,AUGUST,N,SURREY,SURREY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,\N,\N,N,AUGUST,N,SURREY,SURREY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 15,HWY 15,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,\N,\N,N,AUGUST,Y,VANDERHOOF,VANDERHOOF,\N,N,N,N,NORTH CENTRAL,UNKNOWN,YELLOWHEAD HWY,YELLOWHEAD HWY,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,49.10462,-122.756656,Y,AUGUST,N,SURREY,SURREY,SURREY,N,Y,N,LOWER MAINLAND,168 ST # 005600 TO 005689,168 ST,168 ST,12:00-14:59,1,3
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR END,N,N,49.278274,-123.109536,Y,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,EXPO BLVD # 000604 TO 000696,EXPO BLVD,EXPO BLVD,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,REAR TO REAR,N,N,48.42676,-123.316839,Y,AUGUST,N,OAK BAY,OAK BAY,OAK BAY,N,Y,N,VANCOUVER ISLAND,WILMOT PL # 001500 TO 001539,WILMOT PL,WILMOT PL,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SATURDAY,SIDE IMPACT,N,N,\N,\N,N,AUGUST,N,MACKENZIE,MACKENZIE,\N,N,N,N,NORTH CENTRAL,UNKNOWN,HWY 97,HWY 97,12:00-14:59,1,3
N,CASUALTY CRASH,\N,N,2025,SATURDAY,SIDE IMPACT,N,N,49.359795,-124.471839,Y,AUGUST,N,QUALICUM BEACH,QUALICUM BEACH,QUALICUM BEACH,N,N,N,VANCOUVER ISLAND,ISLAND HWY W # 003270 TO 003299,HWY 19A,HWY 19A,12:00-14:59,1,1
