ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,\N,N,2025,SUNDAY,CONFLICTED,N,N,\N,\N,N,SEPTEMBER,N,ABBOTSFORD,ABBOTSFORD,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,CONFLICTED,N,N,48.778729,-123.701405,Y,SEPTEMBER,N,DUNCAN,DUNCAN,DUNCAN,Y,Y,N,VANCOUVER ISLAND,CORONATION AVE # 000300 TO 000399,CORONATION AVE,CORONATION AVE,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,CONFLICTED,N,N,49.135796,-122.845496,Y,SEPTEMBER,N,SURREY,SURREY,SURREY,N,Y,N,LOWER MAINLAND,KING GEORGE BLVD # 007300 TO 007388 even,KING GEORGE BLVD,KING GEORGE BLVD,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,CONFLICTED,N,N,49.157496,-122.856859,Y,SEPTEMBER,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,132 ST # 008400 TO 008599,132 ST,132 ST,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2025,SUNDAY,CONFLICTED,N,N,49.163711,-123.142695,Y,SEPTEMBER,N,RICHMOND,RICHMOND,RICHMOND,N,Y,N,LOWER MAINLAND,MINORU GATE # 007550 TO 007559,MINORU GATE,MINORU GATE,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,HEAD ON,N,N,49.219327,-119.965257,Y,SEPTEMBER,N,KEREMEOS,KEREMEOS,KEREMEOS,N,N,N,SOUTHERN INTERIOR,ASHNOLA RD # 000650 TO 000659,ASHNOLA RD,ASHNOLA RD,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2025,SUNDAY,HEAD ON,N,N,51.115849,-120.1295,Y,SEPTEMBER,N,LOUIS CREEK,LOUIS CREEK,LOUIS CREEK,N,N,N,SOUTHERN INTERIOR,HWY 5 # 003026 TO 003219,HWY 5,HWY 5,12:00-14:59,1,2
N,CASUALTY CRASH,\N,N,2025,SUNDAY,REAR END,N,N,\N,\N,N,SEPTEMBER,N,ABBOTSFORD,ABBOTSFORD,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,REAR END,N,N,\N,\N,N,SEPTEMBER,N,COQUITLAM,COQUITLAM,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,REAR END,N,N,\N,\N,N,SEPTEMBER,N,LANGLEY,LANGLEY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 1,HWY 1,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,REAR END,N,N,\N,\N,N,SEPTEMBER,N,SURREY,SURREY,\N,N,N,N,LOWER MAINLAND,UNKNOWN,HWY 99,HWY 99,12:00-14:59,2,2
N,CASUALTY CRASH,\N,N,2025,SUNDAY,REAR END,N,N,49.171958,-123.128778,Y,SEPTEMBER,N,RICHMOND,RICHMOND,RICHMOND,Y,N,N,LOWER MAINLAND,ACKROYD RD # 008400 TO 008798,ACKROYD RD,ACKROYD RD,12:00-14:59,1,1
N,CASUALTY CRASH,\N,N,2025,SUNDAY,REAR END,N,N,49.229557,-122.853969,Y,SEPTEMBER,N,COQUITLAM,COQUITLAM,COQUITLAM,N,Y,N,LOWER MAINLAND,UNITED BLVD # 001301 TO 001349 odd,UNITED BLVD,UNITED BLVD,12:00-14:59,1,1
